,min,max,mean,median,std
0,-1.8252675533294678,31.50774383544922,12.097563917145775,10.655320644378662,10.622041643746023
1,-1.820356845855713,31.568603515625,12.3177403598887,10.96082878112793,10.61074866215499
2,-1.8359901905059814,31.188907623291016,12.151291368674698,10.745903491973877,10.78414296352467
3,-1.8150042295455933,30.876842498779297,11.919758857192521,10.423630714416504,11.028093074288504
4,-1.8229411840438843,31.281253814697266,11.764536155235152,10.260992050170898,11.092869070091874
5,-1.8147039413452148,31.849735260009766,11.791866021186456,10.381703853607178,11.008426971148957
6,-1.8159434795379639,33.273441314697266,11.969879632683329,10.96062183380127,10.912954964951084
7,-1.8203858137130737,33.7857551574707,12.094318476099604,11.201530933380127,10.943466640932185
8,-1.814723014831543,33.61344528198242,11.95840337785932,10.81837797164917,11.010547335984507
9,-1.8089543581008911,32.48237609863281,11.694450760726415,10.307041645050049,11.04613049821123
10,-1.8048279285430908,31.779664993286133,11.562207525031953,9.991098403930664,11.005971852730527
11,-1.81321382522583,31.397851943969727,11.70969112335159,10.098540306091309,10.813067560589136
12,-1.810627818107605,31.323450088500977,12.163482596471667,10.574990272521973,10.550306828255422
13,-1.8096766471862793,30.85108184814453,12.353742152261812,10.852171897888184,10.559612838341128
14,-1.8225915431976318,30.893169403076172,12.249367025121655,10.696888446807861,10.760907028177803
15,-1.81382417678833,31.0596981048584,11.979555527044953,10.376588821411133,11.01134501990674
16,-1.8133488893508911,31.470352172851562,11.80920620891786,10.223566055297852,11.087258755380724
17,-1.8156625032424927,32.351654052734375,11.807012450061396,10.286109924316406,10.9916419189451
18,-1.813551664352417,33.31007766723633,11.985822958874962,10.600114345550537,10.918440004861425
19,-1.8134934902191162,33.90655517578125,12.087301490878538,10.86787223815918,10.934766273050403
20,-1.814017653465271,33.57284927368164,11.989798192214169,10.595325946807861,11.008505972335074
21,-1.8085837364196777,33.21885299682617,11.731637907315774,10.065749645233154,11.042188513500152
22,-1.8053044080734253,31.711591720581055,11.587465850894198,9.876238346099854,11.002501633550281
23,-1.8056813478469849,31.298925399780273,11.72830488960128,10.243903636932373,10.882068449890399
24,-1.8149144649505615,31.04505729675293,12.063009712250745,10.600784301757812,10.63875932392044
25,-1.828454613685608,30.848247528076172,12.292418685671935,10.910252571105957,10.588443446184494
26,-1.8113137483596802,30.898147583007812,12.214118311866944,10.643728256225586,10.734834413235966
27,-1.8389583826065063,30.89109992980957,11.961013301886156,10.310332775115967,10.946074071224384
